event_name,calendar_title,catalog_name,start_date,end_date,url,results_year,results_month,edition_ym_candidates,date_precision,date_source,flags,source_fingerprint
SwingVester,SwingVester,SwingVester,2026-12-30,,https://www.swingvester.com/,2027,1,2027-01|2026-12,day_start_only,wsdc_calendar,invalid_end,d8a575f459c377efad9e5a4b
Countdown Swing Boston,Countdown Swing Boston,Countdown Swing Boston,2026-12-31,2027-01-03,http://Countdownswingboston.com,2027,1,2027-01|2026-12,day,wsdc_calendar,,b67285afe74986042474995d
Westie Gala,Westie Gala,Westie Gala,2026-12-31,2027-01-04,http://www.westiegala.com,2027,1,2027-01|2026-12,day,wsdc_calendar,,1fb9bccd04bd5603050fff13
BudaFest Open WCS Championships,BudaFest Open WCS Championships,BudaFest Open WCS Championships,2027-01-05,2027-01-10,http://wcs-budafest.com,2027,1,2027-01,day,wsdc_calendar,,f0ac9f7662095c059e33b588
SwingCo,SwingCo,SwingCo,2027-01-07,2027-01-11,https://swingco.dance/,2027,1,2027-01,day,wsdc_calendar,,8e9d2f0dbe5d184365b8112e
Austin Swing Dance Championships,Austin Swing Dance Championships,Austin Swing Dance Championships,2027-01-14,2027-01-17,https://austinswingdance.com,2027,1,2027-01,day,wsdc_calendar,,02fe2e08635061dd65b6643b
Cologne Calling WCS,Cologne Calling WCS,Cologne Calling WCS,2027-01-14,2027-01-17,https://colognecallingwcs.com,2027,1,2027-01,day,wsdc_calendar,,adf527827352752eb5e8d2d7
Avignon City Swing,Avignon City Swing,Avignon City Swing,2027-01-15,2027-01-17,https://www.avignoncityswing.com/,2027,1,2027-01,day,wsdc_calendar,,e1d9833f24ce487d85fdd220
Monterey Swing Fest,Monterey Swing Fest,Monterey SwingFest,2027-01-15,2027-01-17,http://www.montereyswing.com,2027,1,2027-01,day,wsdc_calendar,,4e8f029ff9764913b91ef381
Derby City Swing,Derby City Swing,Derby City Swing,2027-01-21,2027-01-24,https://derbycityswing.com/,2027,1,2027-01,day,wsdc_calendar,,fd4820df09caec60306ecb5c
SWING RESOLUTION,SWING RESOLUTION,SWING RESOLUTION,2027-01-21,2027-01-25,http://www.swingresolution.com,2027,1,2027-01,day,wsdc_calendar,,348e923e061ad80ae931705c
Freedom Swing Dance Challenge,Freedom Swing Dance Challenge,Freedom Swing Dance Challenge,2027-01-22,2027-01-24,https://freedomswingdance.com/,2027,1,2027-01,day,wsdc_calendar,,885bf306df9d2904e6719f8b
Swing In Paris,Swing In Paris,Swing In Paris,2027-01-22,2027-01-25,http://swing-in-paris.com,2027,1,2027-01,day,wsdc_calendar,,85b951311b00be3a4ee3d5ae
ULTRA Westie Fest,ULTRA Westie Fest,ULTRA Westie Fest,2027-01-29,2027-01-31,http://www.ultrawestiefest.com,2027,1,2027-01,day,wsdc_calendar,,818eabcda7891c0954bc3bfe
Charlotte WestieFest,Charlotte WestieFest,Charlotte WestieFest,2027-02-04,2027-02-07,https://charlottewestiefest.com/,2027,2,2027-02,day,wsdc_calendar,,456e9587ab408a61ee8fb8dd
Swing & Snow,Swing & Snow,Swing & Snow,2027-02-04,2027-02-07,http://swingandsnow.ru,2027,2,2027-02,day,wsdc_calendar,,d7984f99b7b4eb2801ee886d
Swingtzerland,Swingtzerland,Swingtzerland,2027-02-04,2027-02-07,https://swingtzerland.com/,2027,2,2027-02,day,wsdc_calendar,,a62ad73a60b0e6e6f9fa2e10
