dancer_id,role,dance,level,total_points,update_date
18966,Follower,West Coast Swing,Intermediate,44,2024-10-30
19062,Leader,West Coast Swing,Novice,15,2024-10-23
19062,Leader,West Coast Swing,Novice,16,2024-10-30
19139,Follower,West Coast Swing,Novice,5,2024-10-23
19139,Follower,West Coast Swing,Novice,17,2024-10-30
19245,Follower,West Coast Swing,Advanced,27,2024-10-23
19245,Follower,West Coast Swing,Advanced,42,2024-10-30
19278,Leader,West Coast Swing,Advanced,46,2024-10-23
19278,Leader,West Coast Swing,Advanced,56,2024-10-30
19286,Follower,West Coast Swing,Sophisticated,1,2024-10-30
19287,Follower,West Coast Swing,Intermediate,28,2024-10-23
19287,Follower,West Coast Swing,Intermediate,29,2024-10-30
19287,Follower,West Coast Swing,Sophisticated,32,2024-10-23
19287,Follower,West Coast Swing,Sophisticated,33,2024-10-30
19318,Follower,West Coast Swing,Novice,1,2024-10-23
19318,Follower,West Coast Swing,Novice,15,2024-10-30
19404,Leader,West Coast Swing,Advanced,54,2024-10-23
19404,Leader,West Coast Swing,Advanced,64,2024-10-30
19415,Follower,West Coast Swing,Intermediate,32,2024-10-23
19415,Follower,West Coast Swing,Intermediate,33,2024-10-30
19426,Follower,West Coast Swing,Advanced,8,2024-10-23
19426,Follower,West Coast Swing,Advanced,20,2024-10-30
19456,Leader,West Coast Swing,Advanced,16,2024-10-23
19456,Leader,West Coast Swing,Advanced,31,2024-10-30
19457,Follower,West Coast Swing,Advanced,49,2024-10-23
19457,Follower,West Coast Swing,Advanced,55,2024-10-30
19512,Leader,West Coast Swing,Novice,4,2024-10-23
19512,Leader,West Coast Swing,Novice,5,2024-10-30
19518,Follower,West Coast Swing,Novice,4,2024-10-23
19518,Follower,West Coast Swing,Novice,18,2024-10-30
19602,Follower,West Coast Swing,Advanced,4,2024-10-23
19602,Follower,West Coast Swing,Advanced,5,2024-10-30
19706,Follower,West Coast Swing,Novice,1,2024-10-23
19706,Follower,West Coast Swing,Novice,2,2024-10-30
19740,Follower,West Coast Swing,Intermediate,14,2024-10-23
19740,Follower,West Coast Swing,Intermediate,15,2024-10-30
19745,Leader,West Coast Swing,Novice,3,2024-10-23
19745,Leader,West Coast Swing,Novice,13,2024-10-30
19817,Leader,West Coast Swing,Advanced,1,2024-10-30
19900,Leader,West Coast Swing,Advanced,4,2024-10-30
19902,Follower,West Coast Swing,Novice,4,2024-10-23
19902,Follower,West Coast Swing,Novice,5,2024-10-30
20049,Leader,West Coast Swing,Novice,2,2024-10-23
20049,Leader,West Coast Swing,Novice,14,2024-10-30
20093,Follower,West Coast Swing,Intermediate,27,2024-10-23
20093,Follower,West Coast Swing,Intermediate,37,2024-10-30
20112,Leader,West Coast Swing,Intermediate,23,2024-10-23
20112,Leader,West Coast Swing,Intermediate,24,2024-10-30
20113,Leader,West Coast Swing,All-Star,27,2024-10-23
20113,Leader,West Coast Swing,All-Star,28,2024-10-30
20118,Follower,West Coast Swing,Advanced,8,2024-10-23
20118,Follower,West Coast Swing,Advanced,11,2024-10-30
20126,Leader,West Coast Swing,Novice,7,2024-10-23
20126,Leader,West Coast Swing,Novice,8,2024-10-30
20128,Leader,West Coast Swing,Advanced,58,2024-10-23
20128,Leader,West Coast Swing,Advanced,68,2024-10-30
20128,Follower,West Coast Swing,Intermediate,44,2024-10-23
20128,Follower,West Coast Swing,Intermediate,45,2024-10-30
20137,Leader,West Coast Swing,Advanced,17,2024-10-23
20137,Leader,West Coast Swing,Advanced,18,2024-10-30
20137,Leader,West Coast Swing,Sophisticated,5,2024-10-23
