event_id,canonical_name,url,registry_status,typical_city,typical_state,typical_country,typical_location,first_edition_year,last_edition_year,edition_count,total_result_rows,unique_dancers,upcoming_start_date,upcoming_location,updated_at
144,Swingin' Into Spring,http://www.sis.djkenm.com/,Registry Event,,,United States,"Hartford, CT, United States",2008,2026,16,964,560,2027-04-29,"Hartford, CT, United States",2026-06-23 12:49:48.149947+00
63,Swingin' New England Dance Festival,,,,,,,1999,2018,20,1790,984,,,2026-06-23 12:49:48.149947+00
64,Swinging In The Northland,,,,,,,1997,1999,3,51,44,,,2026-06-23 12:49:48.149947+00
259,Swingover,http://swingoverevent.com/,Registry Event,,,United States,"Orlando, Florida, United States",2019,2026,6,706,469,2027-04-22,"Orlando, Florida, United States",2026-06-23 12:49:48.149947+00
174,Swingsation,https://rawconnection.com.au/swingsation/,Registry Event,,,Australia,"Gold Coast, Queensland, Australia",2011,2026,14,787,408,2027-05-13,"Gold Coast, Queensland, Australia",2026-06-23 12:49:48.149947+00
346,Swingside Invitational,http://www.swingside-invitational.com/,Registry Event,,,Belgium,"Liège, Belgium",2024,2025,2,211,173,2026-10-22,"Liège, Belgium",2026-06-23 12:49:48.149947+00
227,Swingtacular: The Galactic Open,http://www.dancegeekproductions.art/,Registry Event,,,United States,"San Francisco, CA, United States",2014,2025,10,1202,781,2026-08-06,"San Francisco, CA, United States",2026-06-23 12:49:48.149947+00
213,Swingtimate,https://rawconnection.com.au/swingtimate/,,,,,,2013,2022,8,352,222,,,2026-06-23 12:49:48.149947+00
470,SwingTime Denver,,,,,,,2023,2025,3,437,333,,,2026-06-23 12:49:48.149947+00
47,Swingtime in the Rockies,http://www.swingtimewcs.com/,Registry Event,,,United States,"Denver, CO, United States",1992,2022,29,2210,1164,2026-09-10,"Denver, CO, United States",2026-06-23 12:49:48.149947+00
66,Swingtime in the Rockies,,,,,,,,,0,0,0,,,2026-06-23 12:49:48.149947+00
258,Swingtzerland,https://swingtzerland.com/,Registry Event,,,Switzerland,"Zürich, Switzerland",2016,2026,8,556,375,2027-02-04,"Zürich, Switzerland",2026-06-23 12:49:48.149947+00
333,Swingvasion,https://swingvasion.nz/,Registry Event,,,New Zealand,"Wellington, New Zealand",2024,2026,3,124,90,2027-03-05,"Wellington, New Zealand",2026-06-23 12:49:48.149947+00
289,SwingVester,https://www.swingvester.com/,Registry Event,,,Austria,"Wels, Austria, Austria",2018,2026,7,816,564,2026-12-30,"Wels, Austria, Austria",2026-06-23 12:49:48.149947+00
267,Swustlicious,http://www.swustlicious.com/,Registry Event,,,United States,"Philadelphia, PA, United States",2016,2025,8,528,312,2026-10-16,"Philadelphia, PA, United States",2026-06-23 12:49:48.149947+00
137,Tampa Bay Classic,http://www.tbcwcs.com/,Registry Event,,,United States,"Tampa Bay, FL, United States",2007,2025,15,1334,811,2026-11-05,"Tampa Bay, FL, United States",2026-06-23 12:49:48.149947+00
471,Texas Classic,,,,,,,2022,2026,5,271,191,,,2026-06-23 12:49:48.149947+00
472,"The After Party - ""TAP""",,,,,,,2024,2024,1,130,130,,,2026-06-23 12:49:48.149947+00
473,The After Party - TAP,,,,,,,2022,2022,1,128,126,,,2026-06-23 12:49:48.149947+00
474,"The After Party ""TAP""",,,,,,,2025,2025,1,115,113,,,2026-06-23 12:49:48.149947+00
475,The After Party “TAP”,,,,,,,2023,2023,1,128,126,,,2026-06-23 12:49:48.149947+00
