dancer_id,role,dance,level,total_points,update_date
487,Follower,West Coast Swing,Advanced,6,2026-07-20
490,Leader,West Coast Swing,Professional,4,2026-07-20
492,Follower,West Coast Swing,Professional,2,2026-07-20
494,Follower,West Coast Swing,Novice,9,2026-07-20
495,Follower,West Coast Swing,Champion,8,2026-07-20
495,Follower,West Coast Swing,Novice,3,2026-07-20
496,Follower,West Coast Swing,Intermediate,4,2026-07-20
496,Follower,West Coast Swing,Novice,16,2026-07-20
496,Follower,West Coast Swing,Newcomer,1,2026-07-20
497,Follower,West Coast Swing,Professional,10,2026-07-20
499,Follower,West Coast Swing,Intermediate,1,2026-07-20
499,Follower,West Coast Swing,Newcomer,6,2026-07-20
500,Follower,West Coast Swing,Advanced,12,2026-07-20
500,Follower,West Coast Swing,Intermediate,3,2026-07-20
500,Follower,West Coast Swing,Novice,4,2026-07-20
500,Follower,West Coast Swing,Master,1,2026-07-20
